url,cn_name,en_name,birth_date,height,country
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Robert Lewandowski+1988-08-21+185CM/q0.png,莱万多夫斯基,Robert Lewandowski,1988-08-21,185CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Arkadiusz Milik+1994-02-28+186CM/q1.png,米利克,Arkadiusz Milik,1994-02-28,186CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Mariusz Stepinski+nan+183CM/q2.png,斯特平斯基,Mariusz Stepinski,,183CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Kamil Grosicki+1988-06-08+180CM/q3.png,格罗西茨基,Kamil Grosicki,1988-06-08,180CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Jakub Blaszczykowski+1985-12-14+176CM/q4.png,库巴,Jakub Blaszczykowski,1985-12-14,176CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Slawomir Peszko+1985-02-19+173CM/q5.png,佩什科,Slawomir Peszko,1985-02-19,173CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Grzegorz Krychowiak+1990-01-29+186CM/q6.png,克里乔维亚克,Grzegorz Krychowiak,1990-01-29,186CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Piotr Zielinski+1994-05-20+177CM/q7.png,泽林斯基,Piotr Zielinski,1994-05-20,177CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Karol Linetty+1995-02-02+176CM/q8.png,利内蒂,Karol Linetty,1995-02-02,176CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Bartosz Kapustka+nan+179CM/q9.png,卡普斯特卡,Bartosz Kapustka,,179CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Filip Starzynski+nan+184CM/q10.png,斯塔尔津斯基,Filip Starzynski,,184CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Michal Pazdan+1987-09-21+181CM/q11.png,帕兹丹,Michal Pazdan,1987-09-21,181CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Lukasz Piszczek+1985-06-03+184CM/q12.png,皮什切克,Lukasz Piszczek,1985-06-03,184CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Thiago Cionek+1986-04-21+184CM/q13.png,希奥内克,Thiago Cionek,1986-04-21,184CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Bartosz Salamon+nan+196CM/q14.png,萨拉蒙,Bartosz Salamon,,196CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Artur Jedrzejczyk+1987-11-04+189CM/q15.png,耶德泽齐克,Artur Jedrzejczyk,1987-11-04,189CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Tomasz Jodlowiec+nan+189CM/q16.png,若德洛维茨,Tomasz Jodlowiec,,189CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Jakub Wawrzyniak+nan+188CM/q17.png,瓦夫日尼亚克,Jakub Wawrzyniak,,188CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Kamil Glik+1988-02-03+190CM/q18.png,格利克,Kamil Glik,1988-02-03,190CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Artur Boruc+nan+193CM/q19.png,博鲁茨,Artur Boruc,,193CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Lukasz Fabianski+1985-04-18+190CM/q20.png,法比安斯基,Lukasz Fabianski,1985-04-18,190CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Wojciech Szczesny+1990-04-18+195CM/q21.png,斯泽斯尼,Wojciech Szczesny,1990-04-18,195CM,波兰
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Keisuke Honda+1986-06-13+182CM/q22.png,本田圭佑,Keisuke Honda,1986-06-13,182CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Shinji Okazaki+nan+173CM/q23.png,冈崎慎司,Shinji Okazaki,,173CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Yohei Toyoda+nan+185CM/q24.png,丰田阳平,Yohei Toyoda,,185CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Yoshinori Muto+nan+179CM/q25.png,武藤嘉纪,Yoshinori Muto,,179CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Gen Shoji+1992-12-11+182CM/q26.png,昌子源,Gen Shoji,1992-12-11,182CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Maya Yoshida+nan+189CM/q27.png,吉田麻也,Maya Yoshida,,189CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Yasuhito Endo+nan+178CM/q28.png,远藤保仁,Yasuhito Endo,,178CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Takashi Inui+nan+169CM/q29.png,乾贵士,Takashi Inui,,169CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Shinji Kagawa+nan+175CM/q30.png,香川真司,Shinji Kagawa,,175CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Hiroshi Kiyotake+nan+172CM/q31.png,清武弘嗣,Hiroshi Kiyotake,,172CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Makoto Hasebe+1984-01-18+180CM/q32.png,长谷部诚,Makoto Hasebe,1984-01-18,180CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Gaku Shibasaki+1992-05-28+175CM/q33.png,柴崎岳,Gaku Shibasaki,1992-05-28,175CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Gotoku Sakai+1991-03-14+176CM/q34.png,酒井高德,Gotoku Sakai,1991-03-14,176CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Yuto Nagatomo+1986-09-12+170CM/q35.png,长友佑都,Yuto Nagatomo,1986-09-12,170CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Masato Morishige+nan+180CM/q36.png,森重真人,Masato Morishige,,180CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Yasuyuki Konno+nan+178CM/q37.png,今野泰幸,Yasuyuki Konno,,178CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Eiji Kawashima+1983-03-20+185CM/q38.png,川岛永嗣,Eiji Kawashima,1983-03-20,185CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Shusaku Nishikawa+nan+183CM/q39.png,西川周作,Shusaku Nishikawa,,183CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Masaaki Higashiguchi+1986-05-12+184CM/q40.png,东口顺昭,Masaaki Higashiguchi,1986-05-12,184CM,日本
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Javier Hernandez Balcazar+nan+175CM/q41.png,哈维尔·埃尔,Javier Hernandez Balcazar,,175CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Javier Aquino+nan+168CM/q42.png,阿基诺,Javier Aquino,,168CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Raúl Alonso Jiménez Rodríguez+nan+187CM/q43.png,劳尔·希门尼,Raúl Alonso Jiménez Rodríguez,,187CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Oribe Peralta+1984-01-12+180CM/q44.png,奥里比·佩拉,Oribe Peralta,1984-01-12,180CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Hirving Rodrigo Lozano Bahena +nan+175CM/q45.png,洛扎诺,Hirving Rodrigo Lozano Bahena ,,175CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Diego Reyes+1992-09-19+189CM/q46.png,雷耶斯,Diego Reyes,1992-09-19,189CM,墨西哥
http://p8srnd1i0.bkt.clouddn.com/football_star_img_v2/Miguel Layún+1988-06-25+179CM/q47.png,米格尔·拉云,Miguel Layún,1988-06-25,179CM,墨西哥
